,u,g,r,i,z,y,u-g,g-r,r-i,i-z,z-y,Star_name,Sp_T,V,B_V,Name,Model,STIS,Var_(%),RA,Decl,Vr,PM,PM.1,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,Alt_Star_name,HD_name
HD38949,9.025671629597971,7.997957001780996,7.643295771559732,7.5593718288850695,7.557280672043724,7.557535624187205,1.0277146278169749,0.3546612302212644,0.0839239426746623,0.0020911568413453097,-0.00025495214348048023,HD38949,G1V,7.80,0.57,hd38949,_mod_005,_stis_007,1.17,05 48 20.059,-24 27 49.85,3.0,-30.44,-35.42,,,HD  38949,,HD38949
HD200654,10.241158460728538,9.344972435049126,8.891716988351014,8.694741882703322,8.609534900830141,8.565215800507803,0.8961860256794125,0.4532554466981118,0.1969751056476916,0.08520698187318132,0.044319100322338656,HD200654,G,9.11,0.63,hd200654,_mod_004,_stis_007,,21 06 34.751,-49 57 50.28,-45.0,193.94,-273.89,,,HD 200654,,HD200654
HD60753,6.6921813074308245,6.519646998158487,6.80835811414237,7.047163976353051,7.208794542853584,7.299694047109328,0.17253430927233726,-0.2887111159838831,-0.23880586221068079,-0.16163056650053242,-0.09089950425574411,HD60753,B3IV,6.68,-0.09,hd60753,,_stis_004,,07 33 27.319,-50 35 03.31,20.0,-3.12,5.31,,,HD  60753,,HD60753
HD074000,10.509963615044688,9.794237031926572,9.553830088711248,9.47961350150035,9.473403423147502,9.483887478889393,0.7157265831181157,0.24040694321532463,0.07421658721089841,0.006210078352847148,-0.01048405574189104,HD074000,sdF6,9.66,0.45,hd074000,_mod_003,_stis_006,,08 40 50.804,-16 20 42.51,206.0,350.82,-484.16,,,HD  74000,,HD74000
HD115169,10.665653274103585,9.485605629041174,9.06813145987034,8.95077046905552,8.922569053290308,8.905265305313877,1.1800476450624107,0.41747416917083413,0.1173609908148201,0.028201415765211735,0.017303747976431083,HD115169,G3V,9.20,0.69,hd115169,_mod_003,_stis_003,<0.11,13 15 47.388,-29 30 21.18,21.2,-110.57,-82.09,,,HD 115169,,HD115169
HD 38949,9.025671629597971,7.997957001780996,7.643295771559732,7.5593718288850695,7.557280672043724,7.557535624187205,1.0277146278169749,0.3546612302212644,0.0839239426746623,0.0020911568413453097,-0.00025495214348048023,HD38949,G1V,7.80,0.57,hd38949,_mod_005,_stis_007,1.17,05 48 20.059,-24 27 49.85,3.0,-30.44,-35.42,,,HD  38949,,HD38949
HD 38666,4.5519233340362195,4.881368146305177,5.366921542485943,5.73446465707868,6.010096530717924,6.216614057271166,-0.3294448122689575,-0.4855533961807659,-0.3675431145927375,-0.27563187363924335,-0.20651752655324263,MU COL,O9.5V,5.18,-0.28,mucol,_mod_005,_stis_007,0.12,05 45 59.895,-32 18 23.16,109.0,2.99,-22.03,,,* MU. COL,,HD38666
HD 42525,6.231004253392628,5.548674408649306,5.822142868004876,6.05675628414068,6.211419271119512,6.26591139364128,0.6823298447433226,-0.27346845935557074,-0.23461341613580355,-0.15466298697883207,-0.054492122521767605,ETA1 DOR,A0V,5.69,-0.01,eta1dor,_mod_004,_stis_004,0.18,06 06 09.382,-66 02 22.63,17.6,13.66,27.82,HD42525,,* ETA01 DOR,ETA DOR,HD42525
HD146233,6.937245905171707,5.72437295133112,5.3145311432877875,5.202563087982438,5.1809120673982125,5.166749676735973,1.212872953840587,0.4098418080433328,0.1119680553053497,0.0216510205842253,0.014162390662239233,18 SCO,G2V,5.50,0.65,18sco,_mod_005,_stis_005,,16 15 37.270,-08 22 09.98,11.9,232.16,-495.37,HD146233,,*  18 SCO,,HD146233
Feige110,11.140506568121298,11.551843790344565,12.066729195778926,12.44608689452928,12.73179979970283,12.95196547629259,-0.41133722222326696,-0.5148854054343612,-0.3793576987503542,-0.2857129051735505,-0.22016567658975994,FEIGE110,sdO,11.83,-0.30,feige110,,_stisnic_008,,23 19 58.400,-05 09 56.17,,-10.68,0.31,,,FEIGE 110,,
HD34816,3.755328593160278,4.01507534746398,4.480706065433189,4.835382588252107,5.098626377692698,5.2897816508677735,-0.259746754303702,-0.4656307179692094,-0.3546765228189175,-0.26324378944059124,-0.19115527317507564,LAMBDA LEP,B0.5V,4.29,-0.25,lamlep,_mod_005,_stis_007,0.35,05 19 34.524,-13 10 36.44,20.0,-3.3,-4.91,,,* LAM LEP,,HD34816
